book,url
A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens ,https://www.gutenberg.org/ebooks/46
A Modest Proposal by Jonathan Swift ,https://www.gutenberg.org/ebooks/1080
A Study in Scarlet by Arthur Conan Doyle ,https://www.gutenberg.org/ebooks/244
A Tale of Two Cities by Charles Dickens ,https://www.gutenberg.org/ebooks/98
Adventures of Huckleberry Finn by Mark Twain ,https://www.gutenberg.org/ebooks/76
Alice's Adventures in Wonderland by Lewis Carroll ,https://www.gutenberg.org/ebooks/11
"Allen's West London Street Directory, 1868 by Samuel Allen ",https://www.gutenberg.org/ebooks/58160
Also sprach Zarathustra. English by Friedrich Wilhelm Nietzsche ,https://www.gutenberg.org/ebooks/1998
An Occurrence at Owl Creek Bridge by Ambrose Bierce ,https://www.gutenberg.org/ebooks/375
Anne of Green Gables by L. M.  Montgomery ,https://www.gutenberg.org/ebooks/45
Anthem by Ayn Rand ,https://www.gutenberg.org/ebooks/1250
Autobiography of Benjamin Franklin by Benjamin Franklin ,https://www.gutenberg.org/ebooks/20203
Beowulf: An Anglo-Saxon Epic Poem ,https://www.gutenberg.org/ebooks/16328
Beyond Good and Evil by Friedrich Wilhelm Nietzsche ,https://www.gutenberg.org/ebooks/4363
Calculus Made Easy by Silvanus P.  Thompson ,https://www.gutenberg.org/ebooks/33283
Candide by Voltaire ,https://www.gutenberg.org/ebooks/19942
"Chaucer's Works, Volume 4 (of 7) — The Canterbury Tales by Geoffrey Chaucer ",https://www.gutenberg.org/ebooks/22120
Common Sense by Thomas Paine ,https://www.gutenberg.org/ebooks/147
Confessions of a Thug by Meadows Taylor ,https://www.gutenberg.org/ebooks/44881
David Copperfield by Charles Dickens ,https://www.gutenberg.org/ebooks/766
Democracy in America — Volume 1 by Alexis de Tocqueville ,https://www.gutenberg.org/ebooks/815
Demonology and Devil-lore by Moncure Daniel Conway ,https://www.gutenberg.org/ebooks/40686
Don Quixote by Miguel de Cervantes Saavedra ,https://www.gutenberg.org/ebooks/996
Doodles—The Sunshine Boy by Emma C. Dowd ,https://www.gutenberg.org/ebooks/58164
Dracula by Bram Stoker ,https://www.gutenberg.org/ebooks/345
Dubliners by James Joyce ,https://www.gutenberg.org/ebooks/2814
Emma by Jane Austen ,https://www.gutenberg.org/ebooks/158
Essay on the Classification of the Insane by Matthew Allen ,https://www.gutenberg.org/ebooks/58152
Essays by Ralph Waldo Emerson by Ralph Waldo Emerson ,https://www.gutenberg.org/ebooks/16643
Essays of Michel de Montaigne — Complete by Michel de Montaigne ,https://www.gutenberg.org/ebooks/3600
Et dukkehjem. English by Henrik Ibsen ,https://www.gutenberg.org/ebooks/2542
"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley ",https://www.gutenberg.org/ebooks/84
"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley ",https://www.gutenberg.org/ebooks/41445
Fresco Painting by James Ward ,https://www.gutenberg.org/ebooks/58159
Great Expectations by Charles Dickens ,https://www.gutenberg.org/ebooks/1400
Grimms' Fairy Tales by Jacob Grimm and Wilhelm Grimm ,https://www.gutenberg.org/ebooks/2591
Gulliver's Travels into Several Remote Nations of the World by Jonathan Swift ,https://www.gutenberg.org/ebooks/829
Hard Times by Charles Dickens ,https://www.gutenberg.org/ebooks/786
Heart of Darkness by Joseph Conrad ,https://www.gutenberg.org/ebooks/219
Hedda Gabler by Henrik Ibsen ,https://www.gutenberg.org/ebooks/4093
Il Principe. English by Niccolò Machiavelli ,https://www.gutenberg.org/ebooks/1232
Jane Eyre: An Autobiography by Charlotte Brontë ,https://www.gutenberg.org/ebooks/1260
Josefine Mutzenbacher by Felix Salten ,https://www.gutenberg.org/ebooks/31284
La femme assise by Guillaume Apollinaire ,https://www.gutenberg.org/ebooks/58154
Le Morte d'Arthur: Volume 1 by Sir Thomas Malory ,https://www.gutenberg.org/ebooks/1251
Leaves of Grass by Walt Whitman ,https://www.gutenberg.org/ebooks/1322
Les Misérables by Victor Hugo ,https://www.gutenberg.org/ebooks/135
Leviathan by Thomas Hobbes ,https://www.gutenberg.org/ebooks/3207
Little Women by Louisa May Alcott ,https://www.gutenberg.org/ebooks/514
Manifest der Kommunistischen Partei. English by Friedrich Engels and Karl Marx ,https://www.gutenberg.org/ebooks/61
Meditations by Emperor of Rome Marcus Aurelius ,https://www.gutenberg.org/ebooks/2680
Metamorphosis by Franz Kafka ,https://www.gutenberg.org/ebooks/5200
"Moby Dick; Or, The Whale by Herman Melville ",https://www.gutenberg.org/ebooks/2701
"Mosses from an Old Manse, and Other Stories by Nathaniel Hawthorne ",https://www.gutenberg.org/ebooks/512
"My Secret Life, Volumes I. to III. by Anonymous ",https://www.gutenberg.org/ebooks/30360
Myths and Legends of Ancient Greece and Rome by E. M. Berens ,https://www.gutenberg.org/ebooks/22381
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson by Mary White Rowlandson ,https://www.gutenberg.org/ebooks/851
"Narrative of the Life of Frederick Douglass, an American Slave by Frederick Douglass ",https://www.gutenberg.org/ebooks/23
Oliver Twist by Charles Dickens ,https://www.gutenberg.org/ebooks/730
On Liberty by John Stuart Mill ,https://www.gutenberg.org/ebooks/34901
Persuasion by Jane Austen ,https://www.gutenberg.org/ebooks/105
Peter Pan by J. M.  Barrie ,https://www.gutenberg.org/ebooks/16
Prestuplenie i nakazanie. English by Fyodor Dostoyevsky ,https://www.gutenberg.org/ebooks/2554
Pride and Prejudice by Jane Austen ,https://www.gutenberg.org/ebooks/1342
Pygmalion by Bernard Shaw ,https://www.gutenberg.org/ebooks/3825
Second Treatise of Government by John Locke ,https://www.gutenberg.org/ebooks/7370
Sense and Sensibility by Jane Austen ,https://www.gutenberg.org/ebooks/161
Siddhartha by Hermann Hesse ,https://www.gutenberg.org/ebooks/2500
"Songs of Innocence, and Songs of Experience by William Blake ",https://www.gutenberg.org/ebooks/1934
St. Benedict’s Rule for Monasteries ,https://www.gutenberg.org/ebooks/50040
The Adventures of Sherlock Holmes by Arthur Conan Doyle ,https://www.gutenberg.org/ebooks/1661
The Adventures of Tom Sawyer by Mark Twain ,https://www.gutenberg.org/ebooks/74
The Art of Tying the Cravat by H. le Blanc ,https://www.gutenberg.org/ebooks/58166
"The Awakening, and Selected Short Stories by Kate Chopin ",https://www.gutenberg.org/ebooks/160
The Bar-20 Three by Clarence Edward Mulford ,https://www.gutenberg.org/ebooks/58155
The Brothers Karamazov by Fyodor Dostoyevsky ,https://www.gutenberg.org/ebooks/28054
The Complete Works of William Shakespeare by William Shakespeare ,https://www.gutenberg.org/ebooks/100
The Confessions of St. Augustine by Bishop of Hippo Saint Augustine ,https://www.gutenberg.org/ebooks/3296
"The Count of Monte Cristo, Illustrated by Alexandre Dumas ",https://www.gutenberg.org/ebooks/1184
"The Divine Comedy by Dante, Illustrated by Dante Alighieri ",https://www.gutenberg.org/ebooks/8800
The Fall of the House of Usher by Edgar Allan Poe ,https://www.gutenberg.org/ebooks/932
The Federalist Papers by Alexander Hamilton and John Jay and James Madison ,https://www.gutenberg.org/ebooks/1404
The Hound of the Baskervilles by Arthur Conan Doyle ,https://www.gutenberg.org/ebooks/2852
The Iliad by Homer ,https://www.gutenberg.org/ebooks/6130
The Importance of Being Earnest: A Trivial Comedy for Serious People by Oscar Wilde ,https://www.gutenberg.org/ebooks/844
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African by Equiano ",https://www.gutenberg.org/ebooks/15399
The Kama Sutra of Vatsyayana by Vatsyayana ,https://www.gutenberg.org/ebooks/27827
The King James Version of the Bible ,https://www.gutenberg.org/ebooks/10
The Lady with the Dog and Other Stories by Anton Pavlovich Chekhov ,https://www.gutenberg.org/ebooks/13415
The Legend of Sleepy Hollow by Washington Irving ,https://www.gutenberg.org/ebooks/41
The Life and Adventures of Robinson Crusoe by Daniel Defoe ,https://www.gutenberg.org/ebooks/521
The Monkey's Paw by W. W.  Jacobs ,https://www.gutenberg.org/ebooks/12122
The Odyssey by Homer ,https://www.gutenberg.org/ebooks/1727
"The Philippine Islands, 1493-1898 — Volume 07 of 55 ",https://www.gutenberg.org/ebooks/13701
The Picture of Dorian Gray by Oscar Wilde ,https://www.gutenberg.org/ebooks/174
The Princess Sophia by E. F.  Benson ,https://www.gutenberg.org/ebooks/58150
"The Puering, Bating & Drenching of Skins by Joseph Turney Wood ",https://www.gutenberg.org/ebooks/58168
The Republic by Plato ,https://www.gutenberg.org/ebooks/1497
The Romance of Lust: A Classic Victorian erotic novel by Anonymous ,https://www.gutenberg.org/ebooks/30254
The Scarlet Letter by Nathaniel Hawthorne ,https://www.gutenberg.org/ebooks/25344
The Scarlet Letter by Nathaniel Hawthorne ,https://www.gutenberg.org/ebooks/33
The Souls of Black Folk by W. E. B.  Du Bois ,https://www.gutenberg.org/ebooks/408
The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson ,https://www.gutenberg.org/ebooks/43
The Time Machine by H. G.  Wells ,https://www.gutenberg.org/ebooks/35
The Tragical History of Doctor Faustus by Christopher Marlowe ,https://www.gutenberg.org/ebooks/779
The Turn of the Screw by Henry James ,https://www.gutenberg.org/ebooks/209
The War of the Worlds by H. G.  Wells ,https://www.gutenberg.org/ebooks/36
The Wonderful Wizard of Oz by L. Frank  Baum ,https://www.gutenberg.org/ebooks/55
The Works of Edgar Allan Poe — Volume 2 by Edgar Allan Poe ,https://www.gutenberg.org/ebooks/2148
The Yellow Wallpaper by Charlotte Perkins Gilman ,https://www.gutenberg.org/ebooks/1952
Tractatus Logico-Philosophicus by Ludwig Wittgenstein ,https://www.gutenberg.org/ebooks/5740
Treasure Island by Robert Louis Stevenson ,https://www.gutenberg.org/ebooks/120
Ulysses by James Joyce ,https://www.gutenberg.org/ebooks/4300
Uncle Tom's Cabin by Harriet Beecher Stowe ,https://www.gutenberg.org/ebooks/203
Vagabonding Through Changing Germany by Harry Alverson Franck ,https://www.gutenberg.org/ebooks/58139
"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau ",https://www.gutenberg.org/ebooks/205
War and Peace by graf Leo Tolstoy ,https://www.gutenberg.org/ebooks/2600
When You Were a Boy by Edwin L.  Sabin ,https://www.gutenberg.org/ebooks/58165
Wuthering Heights by Emily Brontë ,https://www.gutenberg.org/ebooks/768
